ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
18, Alemayehu Ejigu Kumsa,?? ????? ??? ???,?/???,????? ??????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
19, Alemseged Assefa Birish,?? ?????? ??? ???,?/??,?????? ???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
20, Ali Siraj Mehammed,?? ?? ??? ????,?? ??????,??? ????? ?????? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
21, Almeaw Mengist Ambaye,?? ???? ????? ????,?/? ???,???? ???? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
22,W/R Almaz Kahsay G/Mariyam,?? ???? ???? ?/????,?? ???????,???.???? ????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
23,W/R Amarech Bekalo Sapa,?? ???? ??? ??,?? ???????,???? ?????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
24,Dr. Amha Kebede H/Michael,?/? ??? ??? ?/????,?/?? ??????,??? ?????? ???? ????.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
25, Araya G/Egziabher Mehari,?? ???? ?/??????? ???,?? ???????,??? ??? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
26, Assefa Desta G/Michael,?? ??? ??? ?/????,?/?? ????,?? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
27, Assefa Kesito Dasho,?? ??? ??? ??,??????? ?? ????,?????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
28,W/R Asmaru Berihun Kebede,?? ???? ???? ???,????? ???? ?????,???.???? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
29, Atkilt Assefa Asgedom,?? ????? ??? ?????,?? ??????,??.????.????.????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
30, Atnatiwos Zeleqe Meshesha,?? ?????? ??? ???,?/?? ??????,??? ?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
31,Ayalew Melaku Abera ,???? ??? ???,?/??????,?/? ??? ?????? ???? ?? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
32,Ayana Zewude Workneh,?? ??? ??? ?????,-,-,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
33,Bedru Dedgeba Ejabo,?? ??? ???? ???,?/?? ??????,?.?.?.????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
34,Bekele Nigussie Kebede,?? ??? ??? ???,?/?? ??????,??? ????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
35,Belaynesh Teklay G/Mariyam,?? ????? ???? ?/????,?/?? ??????,????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
36,Ambassador Birhane G/Kiristos,?????? ???? ?/?????,?/? ???,??? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
37,Birhane W/Kiros Abera,?? ???? ?/??? ???,?/?? ?????,???? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
38,Birhanu Adello G/Mariyam,?? ???? ??? ?/????,?? ??????,???? ???? ???? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
39,Birhanu Tsegaye Abera,?? ???? ??? ???,?/? ???,???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
40,Dr. Betiru Teklie W/Semayat,?/? ??? ??? ?/????,?? ??????,??.??.? ??? ?/?/?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
41,Beyene G/Mesqel Mada,?? ??? ?/???? ??,?? ??????,??.?????? ??? ?.?/????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
42,Bezabih G/Silassie,?? ???? ?/???,?/?? ??????,???????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
43,Bisrat Abebe Tsegaye,?? ???? ??? ???,???/?/?/???,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
44,Daba Arya Gelan,?? ?? ??? ???,?? ??????,????? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
45,Dr. Dadi Jimma Weyessa,?/? ?? ?? ???,?/?? ??????,????.??? ?????? ???? ????.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
46,Dawit Diqasso Dilebeto,?? ??? ??? ????,?/?? ??????,???? ??/?/?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
47,Dawud Mehammed Ali,?? ??? ???? ??,?/? ???,???? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
48,Desmissie Shito Genderie,?? ??? ?? ????,?/???,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
49,Dessalegne Ambaw Belete,?? ???? ???? ???,?/???,??? ?/??/?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
50,Dessalegne Berihe Bayru,?? ???? ??? ???,??????,????? ????? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
51,Dessalegne Mesfin Fanta,?? ????? ???? ???,?/?? ??????,????? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
52,Desta Tesfaw Mebratu,?? ??? ???? ????,?? ??????,???? ?????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
53,Dosegna Mamo Gebrie,?? ??? ?? ???,?/?? ??????,???? ???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
54,Dula Shanqo Sebeta,?? ?? ??? ???,?? ??????,???? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
55,Dr. Elfinesh Haile,?/? ????? ??? ,?? ??????,????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
56,Elsa  Tesfaye,?/? ??? ????,?/?? ??????,???????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
57,Eristu Yirda Wollu,?? ???? ??? ??,?/? ???,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
58,Ermias Assefa Gulilat,?? ????? ??? ???? ,?/?? ???,???? ??? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
59,Etsay G/Silassie G/Hiwot,?/? ??? ?/??? ?/???,?? ??????,??? ??? ???? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
60,Fetlework Gegziabher Abrha,?/? ?????? ?/??????? ????,?/?? ??????,?????? ????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
61,Fitsum Mesfin,?? ??? ????,?/?? ??????,?/?/?/?/????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
62,Foziaya Amin Ali,?/? ??? ??? ???,?? ??? ???,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
63,Firenesh Mekuriya Gobena,?/? ???? ???? ???,?/? ???,???? ????? ???? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
64,Fuad Ebrahim Oumer,?? ??? ????? ???,?/? ???,????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
65,Gebriel Lagar Hiziqiel,?? ????? ??? ?????,?/??????,??? ??? ???? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
66,G/Meskel Chala Motalo,?? ?/???? ?? ???,?? ??????,??.?.??.?.???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
67,G/Medhin G/Tinsae Belay,?? ?/???? ?/???? ???,?/???,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
68,G/Wahid W/Giyorgis,?? ?/??? ?/?????,?/?? ??????,???/????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
69,Gebru Bayibgne Tessema,?? ??? ???? ???,?/??????,????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
70,Gelesso Borie Fissha,?? ??? ?? ???,?/?? ??????,????.????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
71,Gemechu Dubbisso Godana,?? ??? ??? ???,?/?? ????,?/?? ???? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
72,Geremew Garije Gidaboo,?? ???? ??? ???,?? ??????,???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
73,Getachew Belay Wondim,?? ???? ??? ????,?? ??????,???? ????? ????? ?/????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
74,Getachew Mengistie Alemayehu,?? ???? ????? ?????,?/???,??????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
75,Getahun Moges Kiflie,?? ???? ??? ???,?? ??????,?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
76,Getahun Nana Jenber,?? ???? ?? ????,?/??,???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
77,Getahun Tadesse,?? ???? ???,?? ??????,??????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
78,Gidey G/Medhin Debessu,?? ??? ?/???? ???,?? ??????,???/??? ??? ????? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
79,Girmawit Haile G/Hiwot,?/? ????? ??? ?/????,?? ??????,??? ??? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
80,Girmay Kebede Abadi,?? ???? ??? ???,??/?/?/?,???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
81,Gobena Guangul Meshesha,?? ??? ???? ???,?/?? ??????,??? ??? ????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
82,Habtie Fuchalla Boncha,???  ??? ??? ,?/??????,???? ???? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
83,Haile Atfuwaye Ayele,?? ??? ???? ???,?/?? ??????,????? ???? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
84,Haileab Abrha,?? ????? ????,?/?? ?? ?????,?????? ???? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
85,H/Mesqel Tefera H/Marqos,?? ??????? ??? ?/????,?/???,??? ??? ????????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
86,H/Silassie Tekeaguangul,?? ?/??? ??? ????,?? ??????,???????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
87,Hailu Aderie Mesqelie,?? ??? ??? ????,?/?? ??????,?????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
88,Hassen Shifa,?? ??? ??,?/?/??????,???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
89,Higamlak Haile Tessema,?? ?????? ??? ???,?? ?????,???? ??????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
90,Jara H/Mariyam Mamo,?? ?? ?/???? ??,?? ??????,??? ???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
91,Kefyalew Azeze Melaku,????? ??? ???,?/? ?/????,??? ??? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
92,Dr. Kaba Ourgessa Dinssa,?/? ?? ???? ???,?/???,?/????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
93,Kalayu G/Hiwot,?? ???? ?/????,?? ??????,???? ???? ??? ?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
94,Kassahun Embaye Yikuno,?? ???? ???? ???,?/?/??????,??? ???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
95,Kassahun H/ Mariyam Beyene,?? ???? ?/???? ???,?? ??????,???? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
96,Kebede Gerba Gimssa,?? ??? ??? ???,?/???,??? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
97,Dr. Kebede Worku Admassu,?/?  ??? ??? ????,?/???,?? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
98,Kidane Assefa G/Medhin ,?? ??? ??? ?/????,?? ??????,???? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
99,Kifle Argaw Workagegnehu,?? ??? ???? ??????,?/??????,?/?/?/?/??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
100,Dr. Kesetebirhan Admassu,?/? ??????? ????,?/???,?? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
101,Kumma Demeqssa Tokon,?? ????? ???,??/? ??? ????,??? ??? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
102,Legesse Negash Bayu,?? ??? ??? ??,?/?? ??????,?.???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
103,Letifa Abajobir Abadula,?/? ??? ????? ????,?? ?????,???? ??? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
104,Leuelseged Gulilat Desta,?? ?????? ???? ???,?/?/??????,??? ??? ????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
105,Masresha G/Silassie Giddie,?? ???? ?/??? ??,?/??????,????? ?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
106,Mebratrie Teklemariyam Gasho,?? ???? ?????? ??,?/?? ??????,???? ???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
107,Medhin Kiros G/Her,?? ???? ??? ?/???????,?/??????,?/?/?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
108,Sheh Mehammed Almubarek,?? ???? ??????,?/??????,?/??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
109,Mekasha Abrea ,?? ??? ???,?/?? ??????,???? ???? ?????? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
110,Mekonnen Abera,?? ???? ???,?? ???????,????? ???? ?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
111,Dr. Menberetsehay Tadesse W/Gebriel,?/? ??????? ??? ?/?????,?? ??????,???? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
112,Mengisteab G/Kidan G/Egziabher,?? ??????? ?/??? ?/???????,?/? ???,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
113,Mengisteab W/Aregay Teferi,?? ??????? ?/???? ???,?/?/??????,?? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
114,Mengistu Tufa Bonso ,?? ????? ?? ???,?/?? ??????,??/???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
115,Meseret G/Mariyam Tekulo,?? ???? ?/???? ???,?/?/??????,??? ????? ????? ?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
116,Mesfin Abebe Bediy,?? ???? ??? ???,?/?? ??????,????? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
117,Mesfin Haile Gerbi,?? ???? ??? ???,?/?/?/??????,???.????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
118,Meskelie Lera, ?? ???? ??,?/?? ??????,???? ?? ?/??? ?????? ??????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
119,Dr. Misraq Mekonnen,?/? ???? ????,?/???,??? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
120,Mitiku Kassa Gutilie,?? ??? ?? ???,?/???,???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
121,Moges T/Michael Temanu,?? ??? ?/???? ???,?/??????,???.???? ??? ??? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
122,Mohammed Ahmed Geas,?? ???? ???? ???,?/???,????? ????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
123,Mulugeta Wuletaw Wodaje,?? ???? ???? ???,?/???,???? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
124,Nebiyu Samuel Daqa,?? ??? ???? ??,?/?/??????,??.????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
125,Nega Tsegaye Tessema,?? ?? ??? ???,?/???,?? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
126,Pitter Gatkot Giy,?? ??? ???? ??,?/???,????? ??.??.?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
127,Rahel Tadesse Asfaw,?/? ??? ??? ????,?/?? ???,??? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
128,Rashid Mehammed Abdelwahid ,?? ??? ???? ???????,?? ??????,???? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
129,Remedan Ashenafi Hojelie,?? ???? ???? ???,?/???,????? ????? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
130,W/Ro Samiya Zekariya Gutu,?/? ??? ????  ??,?? ??????,????? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
131,Sibhat Nega Medhanie,?? ???? ?? ?????,??????,????. ??? ??? ????? ???? ???.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
132,Sebsbie Kebede Feleqe,?? ???? ??? ???,?? ?? ?????,?????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
133,Seniya Sani Reshid ,?? ??? ?? ???,????? ???? ??? ???, ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
134,Serawit Sileshi Garedew,?? ???? ??? ????,?/?/??? ???,???? ??? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
135,Shanko Delelegne Desta,?? ??? ???? ???,??????,???? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
136,Shewalem Menje G/Kidan,?? ????? ??? ?/???,?/??/??????,???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
137,Shimelis Kemal,?? ???? ???,?/? ???,?????? ??????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
138,Sileshi Getahun Hailu,?? ??? ???? ???,??????,????? ??? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
139,Sileshi Lemma Bekele,?? ??? ?? ???,››,??? ??? ?????? ??? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
140,Dr. Sintayehu W/Michael,?/? ????? ?/????,?? ??????,?????? ????? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
141,Sirak Hailu Kenea,?? ??? ??? ???,?? ??????,??????? ??? ???? ???.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
142,Sissay Gemechu Eido,?? ??? ??? ??,?/ ???,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
143,Sissay Shikur G/Mariyam,?? ??? ??? ?/????,?/?? ??????,???? ???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
144,Solomon Areda Waqotola,?? ???? ??? ????,?/??????,????? ?????? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
145,Dr. Solomon Assefa Gizaw,?/? ???? ??? ???,?? ??????,???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
146,Dr. Solomon Moges Tassie,?/? ???? ??? ??,?/??????,???? ????? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
147,Solomon Shiferaw Bogale,?? ???? ???? ???,?/?/??????,?????? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
148,Sultan Mehammed Aliya,?? ???? ???? ???,?? ??????,??? ??? ?? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
149,Surafel Mihretab Abdi,?? ???? ?????? ???,--,???? ?/? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
150,Tadelech Dalecho Danjo,?? ???? ??? ???,?/???,???? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
151,Tadesse Endaylalu Chebud,?? ??? ?????? ???,?/?? ??????,????? ???? ?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
152,Tadesse Haile Tessema,?? ??? ??? ???,?/? ???,?????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
153,Tamiru Ayana Wirtu,?? ??? ??? ???,?? ??????,???? ??? ??/????? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
154,Tassew Gebrie Migis,?? ??? ??? ???,?/?? ??????,?/???? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
155,Teferi Fikirie Gossaye,?? ??? ??? ???,?? ??????,?????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
156,Tekaligne Mamo Assefa,?? ???? ?? ???,?/? ???,???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
157,Teklay Belay Gebray,?? ???? ??? ????,??????,???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
158,Tekletsadiq Reba Ayanie,?? ?????? ?? ???,?/???,??????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
159,Teklework Atinafu Ambula,?? ?????? ???? ????,??,???.???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
160,Temesgen Tilahun Woyimo,?? ????? ???? ???,???? ?/? ???,???? ?/?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
161,Tesfaye Birhanu Adelegne,?? ???? ???? ????,?/?/?/??????,????? ???? ??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
162,Tesfaye Mengesha Abegaz,?? ???? ???? ????,??/?? ?? ???,???.??? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
163,Tesfaye Teshome Fentabel,?? ???? ??? ?????,?? ??????,??/?/??/??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
164,Dr. Tewoldebirhan G/Egziabher,?/? ???????? ?/???????,?? ??????,???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
165,Ambassador Tirunehzena Araje,?????? ???? ?? ???,?? ?????,???? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
166,Tolossa Shagi Moti,?? ??? ?? ??,?/???,???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
167,Tsegaye Abebe Abera,?? ??? ??? ???,?? ??????,?????? ??? ???? ??.????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
